指标名称,在规则中,在状态CSV中,丢失方向,模块,来源类型,报表类型,提取器,适用范围,OK次数,失败次数,skip_external,skip_form_filter,N/A次数,missing次数,分类,判定,丢失原因,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
可供出售金融资产,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
可疑类贷款,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
同业及其他金融机构存放款项净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业及其他金融机构存放款项净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业存入及拆入,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
向中央银行借款净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
向中央银行借款净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
吸收投资收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
商誉占净资产比率,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
固定资产占总资产比率,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
固定资产周转天数,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
固定资产周转率,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
固定资产折旧、油气资产折耗、生产性生物资产折旧,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
固定资产报废损失,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
境内收入,Y,Y,in_both,income_statement,report,年报/半年报,llm,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter
境内收入占比,Y,Y,in_both,report_section,report,年报/半年报,python:percent_value,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境内毛利率,Y,Y,in_both,report_section,report,年报/半年报,python:percent_value,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境内营业成本,Y,Y,in_both,report_section,report,年报/半年报,llm,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境外收入,Y,Y,in_both,income_statement,report,年报/半年报,llm,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter
境外收入占比,Y,Y,in_both,report_section,report,年报/半年报,python:percent_value,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境外毛利率,Y,Y,in_both,report_section,report,年报/半年报,python:percent_value,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境外营业成本,Y,Y,in_both,report_section,report,年报/半年报,llm,universal[*],0,4,0,4,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 4 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
处置合营或联营公司所收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置固定资产、无形资产及其他长期资产收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置固定资产、无形资产和其他长期资产的损失,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置子公司、合营联营企业及其他营业单位收到的现金净额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置子公司或其他营业单位收到的现金净额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
外币报表折算差额,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
子公司吸收少数股东投资收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
子公司支付少数股东股利及利润,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行和同业及其他金融机构款项净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行和同业及其他金融机构款项净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行款净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行款项净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放同业及其他金融机构款项净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放同业及其他金融机构款项净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存货的减少,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款和同业及其他金融机构存放款项净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款和同业及其他金融机构存放款项净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
对联营企业及合营企业的投资收益,Y,Y,in_both,income_statement,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付债券,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付利息,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应收利息,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应收款项投资,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于少数股东的综合收益总额,Y,Y,in_both,income_statement,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于少数股股东的ROE,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东权益合计,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司普通股股东的ROE,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的加权ROE,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的扣除非经常性损益的净利润,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的扣非ROE,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的扣非加权ROE,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的每股扣非收益,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的每股收益,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的每股股东权益,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的综合收益总额,Y,Y,in_both,income_statement,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司股东及其他权益持有者的净利润,Y,Y,in_both,income_statement,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司股东及其他权益持有者的权益合计,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司股东及其他权益持有者的综合收益总额,Y,Y,in_both,income_statement,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
总股东人数（季度）,Y,Y,in_both,report_section,report,年报/半年报/季报,python:headcount,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
总股数,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
总资产周转天数,Y,Y,in_both,report_section,report,年报/半年报/季报,llm,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
总资产周转率,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
总资产收益率（ROA）,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
所有者权益合计,Y,Y,in_both,balance_sheet,akshare,年报/半年报/季报,auto,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
扣非净利润占比,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
投资性房地产的折旧及摊销,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
投资损失,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金及卖出回购金融资产净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金及卖出回购金融资产款净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金及买入返售金融资产净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金及买入返售金融资产净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
