指标名称,模块,来源类型,报表类型,提取器,适用范围,所在位置,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
净利息收入,income_statement,akshare,年报/半年报/季报,auto,bank(*)[*],akshare:income_statement,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
手续费及佣金净收入,income_statement,akshare,年报/半年报/季报,auto,bank(*)[*],akshare:income_statement,OK,OK,OK,OK,missing,missing,missing,missing
营业利润,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
利润总额,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
基本每股收益,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
分红金额,income_statement,report,年报,llm,universal[*],利润分配,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
经营活动产生的现金流量净额,cashflow,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,OK,OK,OK,OK,OK,OK,OK,OK
投资活动产生的现金流量净额,cashflow,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,OK,OK,OK,OK,OK,OK,OK,OK
筹资活动产生的现金流量净额,cashflow,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,OK,OK,OK,OK,OK,OK,OK,OK
资产负债率,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:负债合计 / 资产总计 * 100,OK,OK,OK,OK,OK,OK,OK,OK
净利润率,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:净利润 / 营业收入 * 100,OK,OK,OK,OK,OK,OK,OK,OK
营业利润率,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:营业利润 / 营业收入 * 100,OK,OK,OK,OK,OK,OK,OK,OK
拨贷比_coverage,financial_ratio,computed,,computed,bank(*)[*],computed:贷款损失准备 / 不良贷款余额 * 100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
人均营业收入,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:营业收入 / 员工人数,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
人均净利润,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:净利润 / 员工人数,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
境内收入,income_statement,report,年报/半年报,llm,universal[*],分部信息,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter
境外收入,income_statement,report,年报/半年报,llm,universal[*],分部信息,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter
现金及存放中央银行款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
现金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放同业及其他金融机构款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
贵金属,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,OK,OK,OK,OK,OK,OK,OK
买入返售金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,OK
衍生金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入当期损益的金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以摊余成本计量的金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入其他综合收益的金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入其他综合收益的债务工具投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
指定为以公允价值计量且其变动计入其他综合收益的权益工具投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
可供出售金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
持有至到期投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应收款项投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应收利息,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
长期应收款,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
长期股权投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,section_found/no_value,OK,OK,OK,OK,section_found/no_value,section_found/no_value
投资性房地产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
固定资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
固定资产占总资产比率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
在建工程,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
使用权资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
无形资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,section_found/no_value,section_found/no_value,OK,OK,OK,OK
商誉,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
商誉占净资产比率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
递延所得税资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
其他资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
向中央银行借款,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业存入及拆入,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业及其他金融机构存放款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
衍生金融负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入当期损益的金融负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
